[HEADER]
Gravity [m2/s]:	9.81
Area meas. section [m2]:	0.0120
GVF porthole distance [m]:	0.960
Density liquid [kg/m3]:	998
[DATA]
[s]	[HH:mm:ss]	[m3/h]	[m3/h]	[pct]	[ln/min]	[mbar]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[deg_C]	[W]	[W]	[W]
time	wall_time	Q_tunnel_setp	Q_tunnel	S_pump_setp	Q_bubbles	Pdiff_GVF	T_TC_01	T_TC_02	T_TC_03	T_TC_04	T_TC_05	T_TC_06	T_TC_07	T_TC_08	T_TC_09	T_TC_10	T_TC_11	T_TC_12	T_ambient	T_inlet	T_outlet	T_chill_setp	T_chill	P_PSU_1	P_PSU_2	P_PSU_3
0.000	13:29:58.461	21.600	21.720	32.394	0.00	0.21	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.89
0.100	13:29:58.561	21.600	21.720	32.388	0.00	0.23	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.89
0.200	13:29:58.661	21.600	21.725	32.388	0.00	0.22	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.95
0.300	13:29:58.761	21.600	21.715	32.388	0.00	0.22	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.574	21.658	19.0	22.5	870.08	870.06	869.95
0.400	13:29:58.861	21.600	21.705	32.388	0.00	0.23	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.500	13:29:58.961	21.600	21.705	32.388	0.00	0.24	87.74	87.08	86.04	88.67	85.33	90.51	21.12	21.07	21.04	21.02	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.600	13:29:59.061	21.600	21.700	32.388	0.00	0.25	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.700	13:29:59.161	21.600	21.705	32.388	0.00	0.23	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
0.800	13:29:59.261	21.600	21.700	32.388	0.00	0.20	87.93	87.06	85.83	88.63	85.32	90.50	21.12	21.07	21.04	21.03	nan	nan	22.896	21.587	21.658	19.0	22.5	870.08	870.06	869.95
